,ID,ScreenName,Date,text,media
74,1512188446055481350,Alwayshorny1468,Thu Apr 07 21:59:55 +0000 2022,"RT @MrMrsAOHhhK: #Tbt. Having my tits out just makes things more fun. Cleaning isn’t as bad when I know the neighbors are watching 😂. 

#re…",
75,1512188355575963652,StanPopovich,Thu Apr 07 21:59:33 +0000 2022,"FAIL
https://t.co/D9BREtMNt4

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/4UEDiHBRWE",
76,1512188052990570503,StanPopovich,Thu Apr 07 21:58:21 +0000 2022,"GRIEF
https://t.co/y1Zm6tu6Oq

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/nTYux1fSbe",
77,1512187732419915783,StanPopovich,Thu Apr 07 21:57:05 +0000 2022,"PTSD
https://t.co/MsiFOyamrB

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/rZVPrIX9rN",
78,1512187279825149959,StanPopovich,Thu Apr 07 21:55:17 +0000 2022,"ESTEEM
https://t.co/UJH5ttbgJ3

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/QyZ8yBd8hT",
79,1512187129757155329,redheadangel70,Thu Apr 07 21:54:41 +0000 2022,#momsgetreal #aventpartner #ad I'm the newest member of Philips Avent Momspace — a community where moms can get rea… https://t.co/OeNfSKC664,
80,1512187010370482184,AUTHOR1TYZER0,Thu Apr 07 21:54:13 +0000 2022,"#childhoodanxiety #anxiety #love #depression #memories #mentalhealth #family #kids #selfcare #momlife #stress 
""How… https://t.co/kyFszy3Iaf",
81,1512186898625835008,StanPopovich,Thu Apr 07 21:53:46 +0000 2022,"PARENT
https://t.co/o8p5asDpq8

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/iDPMpOzGT8",
82,1512186618215641089,TherapistTamara,Thu Apr 07 21:52:39 +0000 2022,"I asked allergy dads what they thought the hardest part of allergy parenting was, and what they and their partner/s… https://t.co/8prwQpYk5E",
83,1512186562443943939,StanPopovich,Thu Apr 07 21:52:26 +0000 2022,"HELP
https://t.co/6qcq5VW8na

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/oMFgDu2ACy",
84,1512186453454897157,MinimalistMerch,Thu Apr 07 21:52:00 +0000 2022,"The Meaning of Mother
#mom #love #momlife #family #baby #mother #dad #happy #kids #instagood #motherhood #mommy… https://t.co/8wVBGiMr7G",
85,1512186254615531521,rubenva09868563,Thu Apr 07 21:51:12 +0000 2022,"RT @GraceWithin5: When you look at your children &amp; you're so proud of what they've become &amp; say to your spouse..""we did that!"" It's such a…",
86,1512185894383624195,StanPopovich,Thu Apr 07 21:49:46 +0000 2022,"FAME
https://t.co/WY4Uf71MLG

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms… https://t.co/DIBsf52Wly",
87,1512185863572230147,HarmonyPebble,Thu Apr 07 21:49:39 +0000 2022,"RT @BlueCornerCreas: PersonalizedByHand🔥💕 https://t.co/bwexpj5x83
#groom #bride #wedding #bridesmaids #weddingparty #engaged #anniversary #…",
88,1512185847117922319,HarmonyPebble,Thu Apr 07 21:49:35 +0000 2022,"RT @BlueCornerCreas: PersonalizedByHand🔥💕 https://t.co/bwexpj5x83
#groom #bride #wedding #bridesmaids #weddingparty #engaged #anniversary #…",
